Exhaust,Supply,Return,Outside
20.2,20.2,20.1,20.2
20.3,20.3,20.1,20.1
20.4,20.4,20.2,20
20.4,20.5,20.3,20
20.4,20.5,20.4,20
20.2,20.2,20.4,19.9
20.3,20.4,20.5,19.9
20.4,20.4,20.4,19.9
20.4,20.4,20.5,19.8
20.4,20.5,20.5,19.8
20.4,20.5,20.5,19.8
20.4,20.5,20.5,19.8
20.4,20.5,20.4,19.7
20.4,20.5,20.4,19.7
20.4,20.5,20.5,19.7
20.4,20.5,20.4,19.7
20.3,20.5,20.4,19.7
20.3,20.5,20.4,19.7
20.4,20.6,20.4,19.8
20.3,20.6,20.4,19.8
20.3,20.5,20.4,19.8
20.3,20.6,20.4,19.8
20.2,20.6,20.4,19.8
20.2,20.6,20.4,19.8
20.3,20.6,20.4,19.8
20.2,20.6,20.4,19.8
20.2,20.7,20.4,19.8
20.3,20.7,20.4,19.9
20.3,20.8,20.5,19.9
20.3,20.7,20.5,19.9
20.3,20.8,20.6,20
20.2,20.8,20.6,20
19.8,20,20.6,20
19.7,19.9,20.2,20.3
19.6,19.9,19.9,20.5
19.6,19.9,19.8,20.7
19.5,19.9,19.6,20.7
19.5,19.8,19.6,20.7
19.4,19.4,19.6,20.5
19.4,19,19.6,20.4
19.5,18.7,19.5,19.9
19.4,18.4,19.4,19.5
19.4,18.2,19.4,19.5
-11.4,18.8,19.8,16.6
-9.3,16,20.1,15.5
-11.2,15.2,20.3,14.1
-13.1,15.1,20.6,13.2
-14.7,14.8,20.8,12.4
-15.9,14.5,20.9,11.8
-16.8,14.2,20.9,11.4
-17.4,13.8,21,10.9
-23.8,13.3,21,4.1
-25,10.1,20.8,-2.6
-25.8,8.3,20.8,-5.4
-26.3,6.6,20.7,-7.1
-26.7,5.5,20.6,-7.9
-26.3,5,20.5,-8.7
-25.7,4.7,20.5,-8.6
-26.6,4.5,20.3,-8.8
-26,4.1,20.2,-9.3
-26.6,4,20.1,-9.3
-26.4,3.6,20.1,-9.7
-26.5,1.9,19.9,-10
-26.7,4.4,20.1,-8.8
-25.8,6.2,20.3,-7.4
-26.7,6.6,20.4,-7.1
-26.1,6.8,20.5,-7.1
-26.3,6.8,20.6,-7
-25.6,6.7,20.6,-7
-25.7,7,20.7,-6.6
-26.1,7.3,20.8,-6.6
-25.3,7.4,20.8,-6.5
-26.2,7.5,20.8,-6.5
-25.3,7.6,20.9,-6.5
-26.2,7.8,21.1,-6.2
-25.5,7.9,21,-6.1
-25.7,8,19.7,-5.8
-26.1,8,20.1,-5.6
-25.2,8,19.5,-5.7
-26.1,7.7,20.1,-6.3
-25.4,7.5,20.3,-6.7
-26,7.5,20.8,-6.5
-26,7.7,21,-6.5
-25.6,7.8,21.1,-6.2
-26.2,7.9,21.1,-6.3
-25.6,7.9,21.2,-7.3
-26.3,8.2,21.3,-7.6
-25.5,8.3,21.3,-7.8
-25.3,8.5,21.5,-7.6
-25.8,8.5,21.4,-7.8
-25.1,8.5,21.4,-7.6
-24,6.5,21.7,-5.1
-24.1,6,21.8,-3.3
-24.5,6.5,22,-1.4
-24.4,6.9,22,-0.2
-24.3,7.4,22.1,0.4
-24.3,7.6,22.2,0.7
-23.8,8,22.2,1.4
-24.4,8.3,22.3,2.3
-23.9,8.5,22.2,3
-24.4,8.5,22.2,3.5
-24.5,9.3,22.1,1.9
-24.9,9.8,22,-2.4
-25.7,9.3,22,-4.7
-24.9,9.1,22,-5.5
-25.5,9.2,22.1,-6.1
-25.2,9.1,22,-6.4
-25.3,9,22,-6.6
-25.8,9,22,-6.9
-25,8.9,22,-7
-25.9,9,22,-7
-25.3,8.9,22,-7.2
-25.4,8.9,22,-7.1
-26,8.9,22,-7.2
-24.7,8.9,22.1,-7.2
-24.6,9.1,22,-6.9
-25.2,9.2,22.1,-6.9
-24.4,9.2,22.1,-6.7
-24.9,9.3,22.1,-6.6
-24.5,9.3,22.2,-6.8
-24.9,9.3,22.2,-6.7
-24.6,9.2,22.2,-6.8
-24.4,9.3,22.1,-6.7
-25.1,9.3,22.2,-6.8
-24.1,9.2,22.2,-6.7
-25.1,9.3,22.2,-6.7
-24.4,9.3,22.2,-6.8
-24.7,9.3,22.2,-6.7
-25.4,9.5,22.3,-6.8
-24.5,9.6,22.3,-6.7
-25.3,9.7,22.3,-6.7
-25.2,9.7,22.2,-6.8
-24.7,9.7,22.2,-6.7
-25.3,9.8,22.2,-6.6
-24.6,9.8,22.3,-6.6
-25.5,9.8,22.2,-6.6
-18.3,10.1,21.9,-4.5
-15.4,9.4,22.7,-2.6
-13.2,10.5,22.8,0.1
-12.7,11.4,22.9,1
-11.7,12.2,23,2.4
-11.2,12.8,23,4
-10.8,13.4,23.1,5.3
-10.9,14,23.1,6.3
-10.9,14.4,23.2,7.3
-10.1,14.7,23.1,8
-11,15.1,23.2,8.7
-22.8,14.7,23,3.8
-24.4,13,22.9,-0.6
-24.7,11.9,22.9,-2.9
-24.3,11.3,22.7,-3.8
-25.4,11,22.5,-4.4
-24.7,10.7,22.5,-4.8
-25,10.6,22.4,-4.8
-25.3,10.3,22.3,-5.2
-24.7,10.2,22.3,-5.3
-25.6,10.2,22.3,-5.5
-24.9,10.1,22.3,-5.7
-25.4,10.1,22.3,-5.7
